GEO_ID,NAME,Median_household_incomes
06001,"Alameda County, California",112017
06003,"Alpine County, California",96000
06005,"Amador County, California",69955
06007,"Butte County, California",59863
06009,"Calaveras County, California",70119
06011,"Colusa County, California",61861
06013,"Contra Costa County, California",110455
06015,"Del Norte County, California",53280
06017,"El Dorado County, California",88770
06019,"Fresno County, California",61276
06021,"Glenn County, California",56332
06023,"Humboldt County, California",53350
06025,"Imperial County, California",49078
06027,"Inyo County, California",60925
06029,"Kern County, California",58824
06031,"Kings County, California",63267
06033,"Lake County, California",53399
06035,"Lassen County, California",59292
06037,"Los Angeles County, California",76367
06039,"Madera County, California",66709
06041,"Marin County, California",131008
06043,"Mariposa County, California",53304
06045,"Mendocino County, California",56378
06047,"Merced County, California",58861
06049,"Modoc County, California",51090
06051,"Mono County, California",71138
06053,"Monterey County, California",82013
06055,"Napa County, California",97498
06057,"Nevada County, California",74617
06059,"Orange County, California",100485
06061,"Placer County, California",99734
06063,"Plumas County, California",57885
06065,"Riverside County, California",76066
06067,"Sacramento County, California",76422
06069,"San Benito County, California",95606
06071,"San Bernardino County, California",70287
06073,"San Diego County, California",88240
06075,"San Francisco County, California",126187
06077,"San Joaquin County, California",74962
06079,"San Luis Obispo County, California",82514
06081,"San Mateo County, California",136837
06083,"Santa Barbara County, California",84356
06085,"Santa Clara County, California",140258
06087,"Santa Cruz County, California",96093
06089,"Shasta County, California",61937
06091,"Sierra County, California",56152
06093,"Siskiyou County, California",49857
06095,"Solano County, California",89648
06097,"Sonoma County, California",91607
06099,"Stanislaus County, California",68368
06101,"Sutter County, California",67003
06103,"Tehama County, California",52901
06105,"Trinity County, California",42206
06107,"Tulare County, California",57394
06109,"Tuolumne County, California",66846
06111,"Ventura County, California",94150
06113,"Yolo County, California",78386
06115,"Yuba County, California",62666
,,
