GRADESPAN,COUNTY,CNTYNAME,all county dropout rates,FIPS
712,001,Anderson County,0.2,001
712,002,Andrews County,1.0,003
712,003,Angelina County,1.0,005
712,004,Aransas County,0.7,007
712,005,Archer County,0.0,009
712,006,Armstrong County,0.0,011
712,007,Atascosa County,1.5,013
712,008,Austin County,0.6,015
712,009,Bailey County,0.0,017
712,010,Bandera County,1.3,019
712,011,Bastrop County,0.7,021
712,012,Baylor County,0.7,023
712,013,Bee County,0.6,025
712,014,Bell County,3.6,027
712,015,Bexar County,2.1,029
712,016,Blanco County,0.2,031
712,017,Borden County,0.0,033
712,018,Bosque County,0.1,035
712,019,Bowie County,1.4,037
712,020,Brazoria County,0.4,039
712,021,Brazos County,1.4,041
712,022,Brewster County,0.2,043
712,023,Briscoe County,0.0,045
712,024,Brooks County,2.0,047
712,025,Brown County,0.9,049
712,026,Burleson County,0.4,051
712,027,Burnet County,0.6,053
712,028,Caldwell County,2.5,055
712,029,Calhoun County,0.5,057
712,030,Callahan County,0.2,059
712,031,Cameron County,1.1,061
712,032,Camp County,0.1,063
712,033,Carson County,0.2,065
712,034,Cass County,0.1,067
712,035,Castro County,1.7,069
712,036,Chambers County,0.2,071
712,037,Cherokee County,0.9,073
712,038,Childress County,1.2,075
712,039,Clay County,0.4,077
712,040,Cochran County,0.0,079
712,041,Coke County,0.8,081
712,042,Coleman County,1.0,083
712,043,Collin County,0.4,085
712,044,Collingsworth County,0.0,087
712,045,Colorado County,1.8,089
712,046,Comal County,0.6,091
712,047,Comanche County,0.2,093
712,048,Concho County,0.0,095
712,049,Cooke County,0.3,097
712,050,Coryell County,1.3,099
712,051,Cottle County,0.0,101
712,052,Crane County,0.4,103
712,053,Crockett County,0.0,105
712,054,Crosby County,0.2,107
712,055,Culberson County,0.0,109
712,056,Dallam County,0.4,111
712,057,Dallas County,3.8,113
712,058,Dawson County,0.3,115
712,059,Deaf Smith County,0.4,117
712,060,Delta County,0.0,119
712,061,Denton County,0.7,121
712,062,DeWitt County,0.2,123
712,063,Dickens County,0.0,125
712,064,Dimmit County,3.4,127
712,065,Donley County,0.0,129
712,066,Duval County,2.4,131
712,067,Eastland County,0.5,133
712,068,Ector County,2.2,135
712,069,Edwards County,0.0,137
712,070,Ellis County,0.7,139
712,071,El Paso County,2.1,141
712,072,Erath County,4.4,143
712,073,Falls County,0.4,145
712,074,Fannin County,0.3,147
712,075,Fayette County,0.7,149
712,076,Fisher County,0.4,151
712,077,Floyd County,0.2,153
712,078,Foard County,1.3,155
712,079,Fort Bend County,1.1,157
712,080,Franklin County,0.4,159
712,081,Freestone County,0.8,161
712,082,Frio County,1.1,163
712,083,Gaines County,0.2,165
712,084,Galveston County,0.5,167
712,085,Garza County,0.2,169
712,086,Gillespie County,0.6,171
712,087,Glasscock County,0.0,173
712,088,Goliad County,0.5,175
712,089,Gonzales County,1.3,177
712,090,Gray County,1.7,179
712,091,Grayson County,0.5,181
712,092,Gregg County,0.6,183
712,093,Grimes County,0.7,185
712,094,Guadalupe County,0.8,187
712,095,Hale County,1.1,189
712,096,Hall County,0.6,191
